,symbol,date,iexId,isEnabled,name,type
0,A,2018-06-07,2,True,Agilent Technologies Inc.,cs
1,AA,2018-06-07,12042,True,Alcoa Corporation,cs
2,AABA,2018-06-07,7653,True,Altaba Inc.,cs
3,AAC,2018-06-07,9169,True,AAC Holdings Inc.,cs
4,AADR,2018-06-07,5,True,AdvisorShares Dorsey Wright ADR,et
5,AAL,2018-06-07,8148,True,American Airlines Group Inc.,cs
6,AAMC,2018-06-07,7760,True,Altisource Asset Management Corp Com,cs
7,AAME,2018-06-07,7,True,Atlantic American Corporation,cs
8,AAN,2018-06-07,8,True,Aaron's Inc.,cs
9,AAOI,2018-06-07,7790,True,Applied Optoelectronics Inc.,cs
10,AAON,2018-06-07,9,True,AAON Inc.,cs
11,AAP,2018-06-07,10,True,Advance Auto Parts Inc W/I,cs
12,AAPL,2018-06-07,11,True,Apple Inc.,cs
13,AAT,2018-06-07,12,True,American Assets Trust Inc.,cs
14,AAU,2018-06-07,13,True,Almaden Minerals Ltd.,cs
15,AAV,2018-06-07,14,True,Advantage Oil & Gas Ltd,cs
16,AAWW,2018-06-07,15,True,Atlas Air Worldwide Holdings,cs
17,AAXJ,2018-06-07,16,True,iShares MSCI All Country Asia ex Japan Index Fund,et
18,AAXN,2018-06-07,6667,True,Axon Enterprise Inc.,cs
19,AB,2018-06-07,17,True,AllianceBernstein Holding L.P. Units,cs
20,ABAC,2018-06-07,5129,True,Renmin Tianli Group Inc.,cs
21,ABAX,2018-06-07,18,True,ABAXIS Inc.,cs
22,ABB,2018-06-07,19,True,ABB Ltd,cs
23,ABBV,2018-06-07,20,True,AbbVie Inc.,cs
24,ABC,2018-06-07,21,True,AmerisourceBergen Corporation,cs
25,ABCB,2018-06-07,22,True,Ameris Bancorp,cs
26,ABCD,2018-06-07,23,True,Cambium Learning Group Inc.,cs
27,ABDC,2018-06-07,8607,True,Alcentra Capital Corp.,cs
28,ABEO,2018-06-07,9600,True,Abeona Therapeutics Inc.,cs
29,ABEOW,2018-06-07,9607,True,,N/A
30,ABEV,2018-06-07,36,True,Ambev S.A. American Depositary Shares (Each representing 1),cs
31,ABG,2018-06-07,26,True,Asbury Automotive Group Inc,cs
32,ABIL,2018-06-07,10960,True,Ability Inc.,cs
33,ABIO,2018-06-07,28,True,ARCA biopharma Inc.,cs
34,ABLX,2018-06-07,13649,True,Ablynx NV,cs
35,ABM,2018-06-07,29,True,ABM Industries Incorporated,cs
36,ABMD,2018-06-07,30,True,ABIOMED Inc.,cs
37,ABR,2018-06-07,31,True,Arbor Realty Trust,cs
38,ABR-A,2018-06-07,32,True,Arbor Realty Trust Preferred Series A,ps
39,ABR-B,2018-06-07,33,True,Arbor Realty Trust Cumulative Redeemable Preferred Series B,ps
40,ABR-C,2018-06-07,8310,True,Arbor Realty Trust Cumulative Redeemable Preferred Series C,ps
41,ABT,2018-06-07,34,True,Abbott Laboratories,cs
42,ABTX,2018-06-07,10446,True,Allegiance Bancshares Inc.,cs
43,ABUS,2018-06-07,6816,True,Arbutus Biopharma Corporation,cs
44,ABX,2018-06-07,39,True,Barrick Gold Corporation,cs
45,AC,2018-06-07,10827,True,Associated Capital Group Inc.,cs
46,ACAD,2018-06-07,41,True,ACADIA Pharmaceuticals Inc.,cs
47,ACBI,2018-06-07,10459,True,Atlantic Capital Bancshares Inc.,cs
48,ACC,2018-06-07,44,True,American Campus Communities Inc,cs
49,ACCO,2018-06-07,46,True,Acco Brands Corporation,cs
50,ACER,2018-06-07,5176,True,Acer Therapeutics Inc.,cs
51,ACET,2018-06-07,49,True,Aceto Corporation,cs
52,ACGL,2018-06-07,53,True,Arch Capital Group Ltd.,cs
53,ACGLO,2018-06-07,14574,True,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,ps
54,ACGLP,2018-06-07,14575,True,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,ps
55,ACH,2018-06-07,54,True,Aluminum Corporation of China Limited American Depositary Shares,cs
56,ACHC,2018-06-07,55,True,Acadia Healthcare Company Inc.,cs
57,ACHN,2018-06-07,56,True,Achillion Pharmaceuticals Inc.,cs
58,ACHV,2018-06-07,5116,True,Achieve Life Sciences Inc.,cs
59,ACIA,2018-06-07,10954,True,Acacia Communications Inc.,cs
60,ACIM,2018-06-07,58,True,SPDR MSCI ACWI IMI,et
61,ACIU,2018-06-07,11879,True,AC Immune SA,cs
62,ACIW,2018-06-07,59,True,ACI Worldwide Inc.,cs
